URL,Title,Description,H1,Canonical,Total_Links,Links_In,Issues
https://dolarexpress.cl/./index/,Vender Cupo en Dólares a Pesos | Transferencia Inm,¿Necesitas liquidez? Compramos tu cupo en dólares ,,https://dolarexpress.cl/,0,0,No h1; Canonical mismatch; Orphaned
https://dolarexpress.cl/./ripley-plata-al-tiro/,Efectivo con Ripley en 20 minutos: Proceso y Costo,Efectivo en 20 minutos con Ripley. Comisión 15%. C,Ripley Plata Al Tiro,https://dolarexpress.cl/ripley-plata-al-tiro/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-abc-din/,"Sacar Dinero Tarjeta Abc Din: Proceso, Costos y Ri","Sacar Dinero Tarjeta Abc Din: comisión 15%, proces",Sacar Dinero Tarjeta Abc Din,https://dolarexpress.cl/sacar-dinero-tarjeta-abc-din/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-casa-comercial/,"Sacar Dinero Tarjeta Casa Comercial: Proceso, Cost","Sacar Dinero Tarjeta Casa Comercial: comisión 15%,",Sacar Dinero Tarjeta Casa Comercial,https://dolarexpress.cl/sacar-dinero-tarjeta-casa-comercial/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-cmr-falabella/,"Sacar Dinero Tarjeta Cmr Falabella: Proceso, Costo","Sacar Dinero Tarjeta Cmr Falabella: comisión 15%, ",Sacar Dinero Tarjeta Cmr Falabella,https://dolarexpress.cl/sacar-dinero-tarjeta-cmr-falabella/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-hites/,"Sacar Dinero Tarjeta Hites: Proceso, Costos y Ries","Sacar Dinero Tarjeta Hites: comisión 15%, proceso ",Sacar Dinero Tarjeta Hites,https://dolarexpress.cl/sacar-dinero-tarjeta-hites/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-jumbo/,"Sacar Dinero Tarjeta Jumbo: Proceso, Costos y Ries","Sacar Dinero Tarjeta Jumbo: comisión 15%, proceso ",Sacar Dinero Tarjeta Jumbo,https://dolarexpress.cl/sacar-dinero-tarjeta-jumbo/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-la-polar/,"Sacar Dinero Tarjeta La Polar: Proceso, Costos y R","Sacar Dinero Tarjeta La Polar: comisión 15%, proce",Sacar Dinero Tarjeta La Polar,https://dolarexpress.cl/sacar-dinero-tarjeta-la-polar/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-lider/,"Sacar Dinero Tarjeta Lider: Proceso, Costos y Ries","Sacar Dinero Tarjeta Lider: comisión 15%, proceso ",Sacar Dinero Tarjeta Lider,https://dolarexpress.cl/sacar-dinero-tarjeta-lider/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-paris/,"Sacar Dinero Tarjeta Paris: Proceso, Costos y Ries","Sacar Dinero Tarjeta Paris: comisión 15%, proceso ",Sacar Dinero Tarjeta Paris,https://dolarexpress.cl/sacar-dinero-tarjeta-paris/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-dinero-tarjeta-ripley/,"Sacar Dinero Tarjeta Ripley: Proceso, Costos y Rie","Sacar Dinero Tarjeta Ripley: comisión 15%, proceso",Sacar Dinero Tarjeta Ripley,https://dolarexpress.cl/sacar-dinero-tarjeta-ripley/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-plata-cmr/,"Sacar Plata Cmr: Proceso, Costos y Riesgos | Dolar","Sacar Plata Cmr: comisión 15%, proceso en 15 minut",Sacar Plata Cmr,https://dolarexpress.cl/sacar-plata-cmr/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-plata-de-tarjeta-de-tienda/,"Sacar Plata De Tarjeta De Tienda: Proceso, Costos ","Sacar Plata De Tarjeta De Tienda: comisión 15%, pr",Sacar Plata De Tarjeta De Tienda,https://dolarexpress.cl/sacar-plata-de-tarjeta-de-tienda/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-plata-ripley/,"Sacar Plata Ripley: Proceso, Costos y Riesgos | Do","Sacar Plata Ripley: comisión 15%, proceso en 20 mi",Sacar Plata Ripley,https://dolarexpress.cl/sacar-plata-ripley/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-plata-tarjeta-abcdin/,"Sacar Plata Tarjeta Abcdin: Proceso, Costos y Ries","Sacar Plata Tarjeta Abcdin: comisión 15%, proceso ",Sacar Plata Tarjeta Abcdin,https://dolarexpress.cl/sacar-plata-tarjeta-abcdin/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./sacar-plata-tarjeta-cencosud/,"Sacar Plata Tarjeta Cencosud: Proceso, Costos y Ri","Sacar Plata Tarjeta Cencosud: comisión 15%, proces",Sacar Plata Tarjeta Cencosud,https://dolarexpress.cl/sacar-plata-tarjeta-cencosud/,18,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/./venta-usd/,Procesar Venta | DolarExpress,Procesa tu venta de cupo en dólares de forma segur,Procesa tu Venta,,7,0,No canonical; Orphaned
https://dolarexpress.cl/avance-abc-visa/,"Avance Abc Visa: Proceso, Costos y Riesgos | Dolar","Avance Abc Visa: comisión 15%, proceso en 20 minut",Avance Abc Visa,https://dolarexpress.cl/avance-abc-visa/,20,0,Orphaned
https://dolarexpress.cl/avance-cmr-sin-avance-habilitado/,CMR Sin Avance: Cómo Obtener Efectivo con Cupo de ,Obtén efectivo de tu CMR sin avance habilitado. Co,Avance Cmr Sin Avance Habilitado,https://dolarexpress.cl/tarjeta-cmr-sin-avance/,20,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/avance-cupo-dolares/,Avance con Cupo en Dólares Chile | DolarExpress,Usa tu cupo en dólares para obtener un avance en p,Obtén un avance usando tu cupo en dólares,https://dolarexpress.cl/avance-cupo-dolares.html,17,0,Canonical mismatch; Orphaned
https://dolarexpress.cl/avance-efectivo-dolares/,Avance en Efectivo con Dólares Chile | DolarExpres,Convierte tus dólares o cupo en dólares en pesos c,Avance en efectivo usando tus dólares o cupo USD,https://dolarexpress.cl/avance-efectivo-dolares.html,17,0,Canonical mismatch; Orphaned
